Order Type,Min Period,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
TWAP Notional,All,0.0,59.6,0.78,-68.38,64.78,-13.14,15.26
TWAP Volume,All,7.37,64.32,3.54,-55.69,80.03,-8.97,20.08
BUY,0,-29.5,88.34,-16.37,-161.13,64.27,-56.46,6.17
BUY,1,-29.5,88.34,-16.37,-161.13,64.27,-56.46,6.17
BUY,2,-29.5,88.34,-16.37,-161.13,64.27,-56.46,6.17
BUY,3,-29.5,88.34,-16.37,-161.13,64.27,-56.46,6.17
BUY,4,-29.5,88.34,-16.37,-161.13,64.27,-56.46,6.17
BUY,5,-29.14,88.85,-16.08,-159.96,65.45,-56.52,6.55
BUY,6,-29.28,90.08,-16.04,-162.63,66.77,-56.78,6.9
BUY,7,-31.67,88.13,-17.22,-165.98,60.9,-57.76,5.03
BUY,8,-23.48,82.32,-14.45,-140.55,65.82,-47.59,6.82
BUY,9,-13.9,81.53,-11.35,-120.11,81.74,-39.05,11.32
BUY,10,-4.3,86.07,-7.3,-105.59,104.96,-32.4,18.19
BUY,11,2.91,118.31,-4.6,-135.34,163.38,-40.26,35.53
BUY,12,9.61,53.46,6.26,-47.18,76.26,-8.88,24.88
SELL,0,36.33,85.67,23.56,-39.38,152.76,3.9,53.36
SELL,1,36.33,85.67,23.56,-39.38,152.76,3.9,53.36
SELL,2,36.33,85.67,23.56,-39.38,152.76,3.9,53.36
SELL,3,36.33,85.67,23.56,-39.38,152.76,3.9,53.36
SELL,4,36.33,85.67,23.56,-39.38,152.76,3.9,53.36
SELL,5,36.23,85.5,23.52,-39.45,151.7,3.83,53.43
SELL,6,35.95,86.47,23.4,-40.87,153.52,3.63,53.45
SELL,7,37.55,86.77,24.4,-38.21,155.23,4.43,54.6
SELL,8,32.57,76.9,22.59,-40.53,134.32,3.72,49.51
SELL,9,25.64,70.9,18.82,-47.82,118.35,0.11,43.47
SELL,10,17.4,68.13,13.32,-59.27,104.02,-5.45,36.26
SELL,11,6.58,88.71,7.18,-101.5,112.99,-18.52,31.87
SELL,12,9.67,53.86,6.12,-47.26,77.07,-8.81,24.82
